title,author,price,pages,avg_reviews,n_reviews,dimensions,weight,language
Responsible Data Science,"[Grant Fleming,Peter C. Bruce]",19.86,304,3.8,8,7.38 x 0.69 x 9.25 inches,1.12 pounds,English
Fundamentals of Data Science with MATLAB: Introduction to Scientific Computing Data Analysis and Data Visualization,[Arash Karimpour],26,424,4.5,4,7.5 x 0.96 x 9.25 inches,1.99 pounds,English
Python for Data Science: Clear and Complete Guide to Data Science and Analysis with Python,[Alex Campbell],14.95,197,3.9,9,6 x 0.45 x 9 inches,10.5 ounces,English
Learn Power BI: A comprehensive step--step guide for beginners to learn real-world business intelligence 2nd Edition,[Greg Deckler],44.64,458,4.4,30,7.5 x 1.04 x 9.25 inches,1.72 pounds,English
Data Visualization with Excel Dashboards and Reports,[Dick Kusleika],22.99,352,4.4,77,7.2 x 0.8 x 9 inches,1.27 pounds,English
Data Science For Dummies 2nd Edition,"[Lillian Pierson,Jake Porway]",41.02,384,4.4,205,7.3 x 1 x 9 inches,1.13 pounds,English
Hands-On Data Structures and Algorithms with Python: Store manipulate and access data effectively and boost the performance of your applications 3rd Edition,[Dr. Basant Agarwal],44.99,496,4.6,5,7.5 x 1.12 x 9.25 inches,1.86 pounds,English
Business Intelligence Analytics and Data Science: A Managerial Perspective,"[Ramesh Sharda,Dursun Delen et al.]",106.66,512,4.5,273,9.8 x 7.8 x 0.7 inches,2.03 pounds,English
Guide to Data Science: Brief Introduction to the Quirky World of Data,[Aryan Goyal],14.99,151,5,1,8.5 x 0.35 x 11 inches,1.02 pounds,English
Machine Learning for Time Series Forecasting with Python,[Francesca Lazzeri],32.49,224,3.9,43,7.38 x 0.51 x 9.25 inches,13.4 ounces,English
Introduction to Computation: Haskell Logic and Automata (Undergraduate Topics in Computer Science),,33.9,382,5,3,8.25 x 0.79 x 11 inches,2.08 pounds,English
Data Science: Concepts and Practice,"[Vijay Kotu,Bala Deshpande]",69.34,568,4.5,9,7.52 x 1.28 x 9.25 inches,2.4 pounds,English
Inferential Network Analysis (Analytical Methods for Social Research),,54.81,314,4.7,7,6 x 0.75 x 8.75 inches,1.04 pounds,English
Data Science In The Library: Tools and Strategies for Supporting Data-Driven Research and Instruction,[Joel Herndon],80.31,224,,0,9.21 x 0.55 x 6.02 inches,9.5 ounces,English
Foundational Python for Data Science (Addison-Wesley Data & Analytics Series),,39.99,256,4.3,7,7 x 0.6 x 9 inches,14.8 ounces,English
Integrating Data,"[Bill Inmon,Patty Haines et al.]",39.95,134,5,1,6 x 0.31 x 9 inches,6.7 ounces,English
Bioinformatics Data Skills: Reproducible and Robust Research with Open Source Tools,[Vince Buffalo],45.77,536,4.6,109,7 x 1.09 x 9.19 inches,1.9 pounds,English
Python Crash Course 2nd Edition: A Hands-On Project-Based Introduction to Programming,[Eric Matthes],21.49,544,4.7,7425,7 x 1.2 x 9.25 inches,2.3 pounds,English
The Esri Guide to GIS Analysis Volume 3: Modeling Suitability Movement and Interaction (The ESRI Guide to GIS Analysis 3),[Andy Mitchell],33.93,420,4.4,27,9.5 x 1 x 7.75 inches,2.15 pounds,English
The Applied SQL Data Analytics Workshop: Develop your practical skills and prepare to become a professional data analyst 2nd Edition,"[Matt Goldwasser,Upom Malik et al.]",34.99,484,4.6,40,7.5 x 1.09 x 9.25 inches,1.67 pounds,English
Data Mesh: Delivering Data-Driven Value at Scale,[Zhamak Dehghani],51.89,384,4.5,101,6.75 x 1 x 9 inches,1.35 pounds,English
End-to-End Data Science with SASÂ®: A Hands-On Programming Guide,[James Gearheart],39.95,380,4.5,17,7.5 x 0.86 x 9.25 inches,1.44 pounds,English
An Introduction to Data Science,"[Jeffrey S. Saltz,Jeffrey M. Stanton]",44.86,288,4.4,75,7.38 x 0.65 x 9.13 inches,1.1 pounds,English
Probabilistic Machine Learning: An Introduction (Adaptive Computation and Machine Learning series),,99,864,4.4,73,8.25 x 1.44 x 9.29 inches,3.4 pounds,English
Computer Science Unleashed: Harness the Power of Computational Systems,,29.95,268,4.9,25,5.5 x 0.73 x 8.5 inches,3.52 ounces,English
R Statistics Cookbook: Over 100 recipes for performing complex statistical operations with R 3.5,[Francisco Juretig],24.99,448,4.6,22,7.5 x 1.01 x 9.25 inches,1.68 pounds,English
Introduction to Statistics: An Intuitive Guide for Analyzing Data and Unlocking Discoveries,[Jim Frost],18.91,255,4.5,199,6 x 0.58 x 9 inches,12.2 ounces,English
Algorithms and Data Structures for Massive Datasets,"[Dzejla Medjedovic,Emin Tahirovic et al.]",59.99,304,3.8,3,7.38 x 0.8 x 9.25 inches,1.02 pounds,English
Data Science (Chapman & Hall/CRC Data Science Series),"[Tiffany Timbers,Trevor Campbell et al.]",59.95,442,,0,7.01 x 1 x 10 inches,1.86 pounds,English
Data Democratization with Domo: Bring together every component of your business to make better data-driven decisions using Domo,[Jeff Burtenshaw],49.99,576,4.8,6,7.5 x 1.3 x 9.25 inches,2.15 pounds,English
Determannâ€™s Field Guide to Data Privacy Law: International Corporate Compliance (Elgar Compliance Guides),[Lothar Determann],73.08,256,,0,5.75 x 0.5 x 8.75 inches,11.8 ounces,English
Data Visualization with Python for Beginners: Visualize Your Data using Pandas Matplotlib and Seaborn (Machine Learning & Data Science for Beginners),,19.99,288,4.1,61,6 x 0.65 x 9 inches,13.6 ounces,English
Practical Synthetic Data Generation: Balancing Privacy and the Broad Availability of Data,"[Khaled El Emam,Lucy Mosquera et al.]",28.49,166,4.1,14,7 x 0.35 x 9.19 inches,9.6 ounces,English
Data Analysis in Sports Science,"[Gabriel J. Sanders PhD,Corey A. Peacock PhD]",59.99,130,4.7,7,6 x 0.31 x 9 inches,9.6 ounces,English
Python for Geospatial Data Analysis: Theory Tools and Practice for Location Intelligence,[Bonny McClain],66.49,200,,0,,1.11 pounds,English
Data Science for Librarians (Library and Information Science Text Series),,65,168,5,2,7 x 0.41 x 10 inches,13.6 ounces,English
Basketball Data Science: With Applications in R (Chapman & Hall/CRC Data Science Series),,43.35,219,4.1,20,6.25 x 0.5 x 9.5 inches,14.7 ounces,English
Data Analytics for Absolute Beginners: A Deconstructed Guide to Data Literacy: (Introduction to Data Data Visualization Business Intelligence & ... Science Python & Statistics for Beginners),,14.9,153,4.4,309,6 x 0.39 x 9 inches,8.3 ounces,English
Bayesian Data Analysis (Chapman & Hall/CRC Texts in Statistical Science),,78.22,675,4.7,200,7.5 x 1.25 x 10.25 inches,3.05 pounds,English
Murachs Python for Data Analysis (Training & Reference),[Scott Mccoy],58.33,559,4.6,22,7.75 x 1.5 x 9.75 inches,2.8 pounds,English
Cracking the Coding Interview: 189 Programming Questions and Solutions,[Gayle Laakmann McDowell],35.95,687,4.7,7563,7 x 1.59 x 10 inches,2.69 pounds,English
Docker for Data Science: Building Scalable and Extensible Data Infrastructure Around the Jupyter Notebook Server,[Joshua Cook],49.49,278,3.7,10,6.1 x 0.64 x 9.25 inches,9.56 pounds,English
Mastering PostgreSQL 13: Build administer and maintain database applications efficiently with PostgreSQL 13 4th Edition,[Hans-Jurgen Schonig],41.99,476,4.2,35,7.5 x 1.08 x 9.25 inches,1.79 pounds,English
Data Analysis with Python and PySpark,[Jonathan Rioux],48,456,4.8,7,7.38 x 1 x 9.25 inches,1.68 pounds,English
